age,attrition,dailyrate,distancefromhome,education,environmentsatisfaction,jobinvolvement,joblevel,jobsatisfaction,monthlyincome,monthlyrate,numcompaniesworked,overtime,percentsalaryhike,relationshipsatisfaction,stockoptionlevel,totalworkingyears,trainingtimeslastyear,worklifebalance,yearsatcompany,yearsincurrentrole,yearssincelastpromotion,yearswithcurrmanager,engagementscore,overtimestress,incomeperyearworked,promotiongap,department_Research & Development,department_Sales,jobrole_Human Resources,jobrole_Laboratory Technician,jobrole_Manager,jobrole_Manufacturing Director,jobrole_Research Director,jobrole_Research Scientist,jobrole_Sales Executive,jobrole_Sales Representative,businesstravel_Travel_Frequently,businesstravel_Travel_Rarely,maritalstatus_Married,maritalstatus_Single,educationfield_Life Sciences,educationfield_Marketing,educationfield_Medical,educationfield_Other,educationfield_Technical Degree,tenurecategory_10+ yrs,tenurecategory_3-5 yrs,tenurecategory_6-9 yrs,gender_Male
44,0,1459,10,4,4,3,2,4,6465,19121,2,1,13,4,0,9,5,4,4,2,1,3,3.8,0,8620.0,0.2,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1
30,0,125,9,2,4,2,1,3,2206,16117,1,0,13,1,0,10,5,3,10,0,1,8,2.6,0,2647.2,0.09090909090909091,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1
39,1,895,5,3,4,3,2,4,2086,3335,3,0,14,3,1,19,6,4,1,0,0,0,3.6,0,1317.4736842105262,0.0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1
24,1,813,1,3,2,3,1,4,2293,3020,2,1,16,1,1,6,2,2,2,0,2,0,2.4,0,4586.0,0.6666666666666666,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1
43,0,1273,2,2,4,4,1,3,2645,21923,1,0,12,4,2,6,3,2,5,3,1,4,3.4,0,5290.0,0.16666666666666666,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
50,1,869,3,2,1,2,1,3,2683,3810,1,1,14,3,0,3,2,3,3,2,0,2,2.4,0,10732.0,0.0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,1
35,0,890,2,3,4,3,1,4,2014,9687,1,0,13,1,0,2,3,3,2,2,2,2,3.0,0,12084.0,0.6666666666666666,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0
36,0,852,5,4,2,2,1,1,3419,13072,9,1,14,4,1,6,3,4,1,1,0,0,2.6,0,6838.0,0.0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
33,0,1141,1,3,3,4,2,1,5376,3193,2,0,19,1,2,10,3,3,5,3,1,3,2.4,0,6451.2,0.16666666666666666,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0
35,0,464,4,2,3,3,1,4,1951,10910,1,0,12,3,1,1,3,3,1,0,0,0,3.2,0,23412.0,0.0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
27,0,1240,2,4,4,3,1,1,2341,19715,1,0,13,4,1,1,6,3,1,0,0,0,3.0,0,28092.0,0.0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
26,1,1357,25,3,1,1,1,3,2293,10558,1,0,12,3,0,1,2,2,1,0,0,1,2.0,0,27516.0,0.0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1
27,0,994,8,3,4,3,3,3,8726,2975,1,0,15,4,0,9,0,3,9,8,1,7,3.4,0,11634.666666666666,0.1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1
30,0,721,1,2,3,3,2,4,4011,10781,1,0,23,4,0,12,2,3,12,8,3,7,3.4,0,4011.0,0.23076923076923078,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0
41,1,1360,12,3,2,3,5,3,19545,16280,1,0,12,4,0,23,0,3,22,15,15,8,3.0,0,10197.391304347826,0.6521739130434783,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0
34,0,1065,23,4,2,3,2,3,4568,10034,0,0,20,3,0,10,2,3,9,5,8,7,2.8,0,5481.6,0.8,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1
37,0,408,19,2,2,3,1,2,3022,10227,4,0,21,1,0,8,1,3,1,0,0,0,2.2,0,4533.0,0.0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1
46,0,1211,5,4,1,3,2,4,5772,20445,4,1,21,3,0,14,4,3,9,6,0,8,2.8,0,4947.428571428572,0.0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,1
35,0,1229,8,1,4,4,1,4,2269,4892,1,0,19,4,0,1,2,3,1,0,0,1,3.8,0,27228.0,0.0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1
48,1,626,1,2,1,2,3,3,5381,19294,9,1,13,4,0,23,2,3,1,0,0,0,2.6,0,2807.478260869565,0.0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1
28,1,1434,5,4,3,3,1,3,3441,11179,1,1,13,3,0,2,3,2,2,2,2,2,2.8,0,20646.0,0.6666666666666666,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1
44,0,1488,1,5,2,3,2,1,5454,4009,5,1,21,3,1,9,2,2,4,3,1,3,2.2,0,7272.0,0.2,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0
35,0,1097,11,2,3,2,3,1,9884,8302,2,1,13,3,1,10,3,3,4,0,2,3,2.4,0,11860.8,0.4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1
26,0,1443,23,3,3,2,2,4,4157,21436,7,1,19,3,1,5,2,2,2,2,0,0,2.8,0,9976.8,0.0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0
33,0,515,1,2,1,3,3,4,13458,15146,1,1,12,3,0,15,1,3,15,14,8,12,2.8,0,10766.4,0.5,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0
35,0,853,18,5,2,3,3,1,9069,11031,1,0,22,4,1,9,3,2,9,8,1,8,2.4,0,12092.0,0.1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,1
35,0,1142,23,4,3,3,1,1,4014,16002,3,1,15,3,1,4,3,3,2,2,2,2,2.6,0,12042.0,0.6666666666666666,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
31,0,655,7,4,4,3,2,4,5915,9528,3,0,22,4,1,10,3,2,7,7,1,7,3.4,0,7098.0,0.125,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1
37,0,1115,1,4,1,2,2,3,5993,2689,1,0,18,3,1,7,2,4,7,5,0,7,2.6,0,10273.714285714286,0.0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1
32,0,427,1,3,1,3,2,4,6162,10877,1,1,22,2,1,9,3,3,9,8,7,8,2.6,0,8216.0,0.7,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1
38,0,653,29,5,4,3,2,4,2406,5456,1,0,11,4,0,10,2,3,10,3,9,9,3.6,0,2887.2,0.8181818181818182,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0
50,0,989,7,2,2,2,5,3,18740,16701,5,1,12,4,1,29,2,2,27,3,13,8,2.6,0,7754.482758620689,0.4642857142857143,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
59,0,1435,25,3,1,3,3,1,7637,2354,7,0,11,4,0,28,3,2,21,16,7,9,2.2,0,3273.0,0.3181818181818182,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0
36,0,1223,8,3,3,3,3,3,10096,8202,1,0,13,2,3,17,2,3,17,14,12,8,2.8,0,7126.588235294118,0.6666666666666666,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
55,0,836,8,3,4,3,4,3,14756,19730,2,1,14,3,3,21,2,3,5,0,0,2,3.2,0,8432.0,0.0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
36,0,1195,11,3,2,2,2,2,6499,22656,1,0,13,3,0,6,3,3,6,5,0,3,2.4,0,12998.0,0.0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1
45,0,1339,7,3,2,3,3,1,9724,18787,2,0,17,3,1,25,2,3,1,0,0,0,2.4,0,4667.52,0.0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
35,0,664,1,3,2,3,1,1,2194,5868,4,0,13,4,1,5,2,2,3,2,1,2,2.4,0,5265.6,0.25,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1
36,1,318,9,3,4,2,1,3,3388,21777,0,1,17,1,1,2,0,2,1,0,0,0,2.4,0,20328.0,0.0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1
59,0,1225,1,1,1,2,2,3,5473,24668,7,0,11,4,0,20,2,2,4,3,1,3,2.4,0,3283.8,0.2,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0
29,0,1328,2,3,3,3,1,2,2703,4956,0,0,23,4,1,6,3,3,5,4,0,4,3.0,0,5406.0,0.0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1
31,0,1082,1,4,3,3,1,2,2501,18775,1,0,17,2,0,1,4,3,1,1,1,0,2.6,0,30012.0,0.5,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1
32,0,548,1,3,2,3,2,2,6220,7346,1,0,17,2,2,10,3,3,10,4,0,9,2.4,0,7464.0,0.0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1
36,0,132,6,3,2,4,1,4,3038,22002,3,0,12,2,0,5,3,3,1,0,0,0,3.0,0,7291.2,0.0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
31,0,746,8,4,3,3,2,4,4424,20682,1,0,23,4,0,11,2,3,11,7,1,8,3.4,0,4826.181818181818,0.08333333333333333,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0
35,0,776,1,4,3,2,2,1,4312,23016,0,0,14,2,0,16,2,3,15,13,2,8,2.2,0,3234.0,0.125,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1
45,0,193,6,4,4,3,3,1,13245,15067,4,1,14,2,0,17,3,4,0,0,0,0,2.8,0,9349.411764705883,0.0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1
37,0,397,7,4,1,3,3,3,13664,25258,4,0,13,1,0,16,3,4,5,2,0,2,2.4,0,10248.0,0.0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1
46,0,945,5,2,2,3,2,2,5021,10425,8,1,22,4,1,16,2,3,4,2,0,2,2.8,0,3765.75,0.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1
30,0,852,1,1,4,2,2,4,5126,15998,1,1,12,3,2,10,1,2,10,8,3,0,3.0,0,6151.2,0.2727272727272727,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1
35,0,1214,1,3,2,2,1,3,2859,26278,1,0,18,1,0,6,3,3,6,4,0,4,2.2,0,5718.0,0.0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1
55,0,111,1,2,1,3,3,4,10239,18092,3,0,14,4,1,24,4,3,1,0,1,0,3.0,0,5119.5,0.5,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1
38,0,573,6,3,2,1,2,4,5329,15717,7,1,12,4,3,17,3,3,13,11,1,9,2.8,0,3761.6470588235293,0.07142857142857142,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
34,0,1153,1,2,1,3,2,2,4325,17736,1,0,15,3,0,5,2,3,5,2,1,3,2.4,0,10380.0,0.16666666666666666,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1
56,0,1400,7,3,4,1,3,4,7260,21698,4,0,11,1,0,37,3,2,6,4,0,2,2.4,0,2354.5945945945946,0.0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1
23,0,541,2,1,3,3,1,1,2322,9518,3,0,13,3,1,3,3,3,0,0,0,0,2.6,0,9288.0,0.0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1
51,0,432,9,4,4,3,1,4,2075,18725,3,0,23,2,2,10,4,3,4,2,0,3,3.2,0,2490.0,0.0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1
30,0,288,2,3,3,2,2,4,4152,15830,1,0,19,1,3,11,3,3,11,10,10,8,2.6,0,4529.454545454545,0.8333333333333334,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1
46,1,669,9,2,3,2,3,4,9619,13596,1,0,16,4,0,9,3,3,9,8,4,7,3.2,0,12825.333333333334,0.4,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,1
40,0,530,1,4,3,2,4,2,13503,14115,1,0,22,4,1,22,3,2,22,3,11,11,2.6,0,7365.272727272727,0.4782608695652174,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1
51,0,632,21,4,3,3,2,4,5441,8423,0,1,22,4,0,11,2,1,10,7,1,0,3.0,0,5935.636363636364,0.09090909090909091,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1
30,0,1334,4,2,3,2,2,2,5209,19760,1,1,12,2,3,11,4,2,11,8,2,7,2.2,0,5682.545454545455,0.16666666666666666,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0
46,0,638,1,3,3,2,3,1,10673,3142,2,1,13,3,1,21,5,2,10,9,9,5,2.2,0,6098.857142857143,0.8181818181818182,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1
32,0,1093,6,4,2,3,2,3,5010,24301,1,0,16,1,0,12,0,3,11,8,5,7,2.4,0,5010.0,0.4166666666666667,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1
54,0,1217,2,4,1,3,3,3,13549,24001,9,0,12,1,1,16,5,1,4,3,0,3,1.8,0,10161.75,0.0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0
24,0,1353,3,2,1,3,2,3,4999,17519,0,0,21,1,1,4,2,2,3,2,0,2,2.0,0,14997.0,0.0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0
28,0,120,4,3,2,3,2,3,4221,8863,1,0,15,2,0,5,3,4,5,4,0,4,2.8,0,10130.4,0.0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1
58,0,682,10,4,4,3,4,3,13872,24409,0,0,13,3,0,38,1,2,37,10,1,8,3.0,0,4380.631578947368,0.02631578947368421,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1
44,0,489,23,3,2,3,2,2,2042,25043,4,0,12,3,1,17,3,4,3,2,1,2,2.8,0,1441.4117647058824,0.25,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1
37,1,807,6,4,3,3,1,1,2073,23648,4,1,22,4,0,7,3,3,3,2,0,2,2.8,0,3553.714285714286,0.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
32,0,827,1,1,4,3,1,1,2956,15178,1,0,13,4,0,1,2,3,1,0,0,0,3.0,0,35472.0,0.0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1
20,1,871,6,3,4,2,1,4,2926,19783,1,1,18,2,0,1,5,3,1,0,1,0,3.0,0,35112.0,0.5,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
34,0,665,6,4,1,3,2,3,4809,12482,1,0,14,3,0,16,3,3,16,13,2,10,2.6,0,3606.75,0.11764705882352941,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0
37,0,1040,2,2,3,2,2,4,5163,15850,5,0,14,4,1,17,2,4,1,0,0,0,3.4,0,3644.470588235294,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
59,0,1420,2,4,3,2,5,4,18844,21922,9,0,21,4,1,30,3,3,3,2,2,2,3.2,0,7537.6,0.5,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
50,0,1115,1,3,1,3,5,2,18172,9755,3,1,19,1,0,28,1,2,8,3,0,7,1.8,0,7788.0,0.0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0
25,1,240,5,3,3,2,2,3,5744,26959,1,1,11,4,0,6,1,3,6,4,0,3,3.0,0,11488.0,0.0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,1
25,0,1280,7,1,4,2,1,4,2889,26897,1,0,11,3,2,2,2,3,2,2,2,1,3.2,0,17334.0,0.6666666666666666,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1
22,0,534,15,3,2,3,1,4,2871,23785,1,0,15,3,0,1,5,3,0,0,0,0,3.0,0,34452.0,0.0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0
51,0,1456,1,4,1,2,3,1,7484,25796,3,0,20,3,0,23,1,2,13,12,12,8,1.8,0,3904.695652173913,0.8571428571428571,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0
34,1,658,7,3,1,1,2,3,6074,22887,1,1,24,4,0,9,3,3,9,7,0,6,2.4,0,8098.666666666667,0.0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1
54,0,142,26,3,4,4,4,4,17328,13871,2,1,12,3,0,23,3,3,5,3,4,4,3.6,0,9040.695652173914,0.6666666666666666,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
24,0,1127,18,1,2,3,1,3,2774,13257,0,0,12,3,1,6,2,3,5,3,1,2,2.8,0,5548.0,0.16666666666666666,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1
34,0,1031,6,4,3,2,2,2,4505,15000,6,0,15,3,1,12,3,3,1,0,0,0,2.6,0,4505.0,0.0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
37,0,1189,3,3,3,3,3,4,7428,14506,2,0,12,1,0,12,3,3,5,3,1,3,2.8,0,7428.0,0.16666666666666666,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,1
